ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
6,0,7,7266.66,909.34,8,6.04398e+08,909.24,910.818,34.299,34.5912,#FF0000,0.1,54.2062
6,0,7,7266.66,808.414,9,3.29748e+08,808.314,809.739,34.3503,34.6618,#FF0000,0.1,54.2062
6,0,4,7266.66,727.673,10,4.83393e+07,727.573,728.876,34.4418,34.5912,#FF0000,0.1,54.2062
7,0,11,9175.56,1530.27,6,4.06664e+08,1530.34,1532.54,50.1872,50.9105,#FF0000,0.1,49.8017
7,0,15,9175.56,1311.8,7,1.91285e+09,1311.85,1313.76,50.113,51.133,#FF0000,0.1,49.8017
7,0,15,9175.56,1147.95,8,1.87622e+09,1147.98,1149.68,50.113,51.133,#FF0000,0.1,49.8017
7,0,15,9175.56,1020.51,9,1.58576e+09,1020.53,1022.06,50.113,51.133,#FF0000,0.1,49.8017
7,0,12,9175.56,918.564,10,8.72541e+08,918.564,919.967,50.113,50.9105,#FF0000,0.1,49.8017
7,0,8,9175.56,835.15,11,1.24091e+08,835.141,836.434,50.1872,50.6953,#FF0000,0.1,49.8017
8,0,3,9515.09,1360.31,7,3.3589e+07,1360.35,1362.27,40.5887,41.5847,#FF0000,0.1,53.9231
8,0,7,9515.09,1190.39,8,1.18772e+08,1190.42,1192.12,40.5887,41.7538,#FF0000,0.1,53.9231
8,0,17,9515.09,1058.24,9,4.15185e+08,1058.25,1059.79,40.5145,41.6588,#FF0000,0.1,53.9231
8,0,25,9515.09,952.516,10,1.24093e+09,952.516,953.919,40.4685,41.9525,#FF0000,0.1,53.9231
8,0,28,9515.09,866.015,11,2.58116e+09,866.006,867.3,40.3978,42.071,#FF0000,0.1,53.9231
8,0,28,9515.09,793.931,12,3.17232e+09,793.915,795.117,40.4685,42.1192,#FF0000,0.1,53.9231
8,0,27,9515.09,732.937,13,2.84887e+09,732.914,734.04,40.4685,42.071,#FF0000,0.1,53.9231
8,0,25,9515.09,680.656,14,2.1936e+09,680.628,681.687,40.4685,42.0208,#FF0000,0.1,53.9231
8,0,26,9515.09,635.346,15,1.82651e+09,635.313,636.315,40.4685,42.071,#FF0000,0.1,53.9231
8,0,17,9515.09,595.7,16,5.9211e+08,595.663,596.615,40.5145,41.6588,#FF0000,0.1,53.9231
8,0,2,9515.09,560.718,17,1.95057e+07,560.677,561.585,40.5887,40.8512,#FF0000,0.1,53.9231
9,0,7,8102.93,1621.59,5,8.3523e+07,1621.49,1624.1,58.6747,59.0595,#FF0000,0.1,53.9796
9,0,14,8102.93,1351.5,6,7.357e+08,1351.4,1353.6,58.6003,59.5003,#FF0000,0.1,53.9796
9,0,14,8102.93,1158.57,7,1.42697e+09,1158.47,1160.39,58.6003,59.6353,#FF0000,0.1,53.9796
9,0,12,8102.93,1013.87,8,6.18627e+08,1013.77,1015.48,58.6003,59.352,#FF0000,0.1,53.9796
9,0,7,8102.93,901.333,9,6.19546e+07,901.233,902.769,58.6747,59.1322,#FF0000,0.1,53.9796
10,0,32,11759.3,1470.92,8,1.18693e+09,1470.95,1472.9,35.1692,37.6068,#FF0000,0.1,53.6149
10,0,34,11759.3,1307.6,9,1.38741e+09,1307.61,1309.37,35.1692,37.755,#FF0000,0.1,53.6149
10,0,20,11759.3,1176.94,10,7.47497e+08,1176.94,1178.54,35.1692,37.1605,#FF0000,0.1,53.6149
10,0,18,11759.3,1070.04,11,8.86804e+08,1070.03,1071.5,35.1692,37.0863,#FF0000,0.1,53.6149
10,0,38,11759.3,980.95,12,1.73682e+09,980.933,982.303,35.1267,38.9417,#FF0000,0.1,53.6149
10,0,44,11759.3,905.57,13,2.32106e+09,905.547,906.826,35.1692,37.8967,#FF0000,0.1,53.6149
10,0,38,11759.3,840.958,14,2.07718e+09,840.93,842.132,35.1692,38.8377,#FF0000,0.1,53.6149
10,0,29,11759.3,784.961,15,1.36419e+09,784.928,786.064,35.1692,37.5513,#FF0000,0.1,53.6149
10,0,15,11759.3,735.964,16,6.03547e+08,735.927,737.004,35.213,36.2252,#FF0000,0.1,53.6149
10,0,5,11759.3,692.731,17,1.07336e+08,692.69,693.716,35.213,35.7355,#FF0000,0.1,53.6149
11,0,4,9228.93,1319.43,7,4.44578e+07,1319.47,1321.39,35.976,36.685,#FF0000,0.1,51.9547
11,0,15,9228.93,1154.62,8,3.00966e+08,1154.65,1156.35,35.976,37.0332,#FF0000,0.1,51.9547
11,0,20,9228.93,1026.44,9,4.98398e+08,1026.46,1027.99,35.8287,37.0332,#FF0000,0.1,51.9547
11,0,26,9228.93,923.9,10,1.21594e+09,923.901,925.304,35.7355,37.6573,#FF0000,0.1,51.9547
11,0,33,9228.93,840.001,11,2.91479e+09,839.992,841.286,35.7355,37.7018,#FF0000,0.1,51.9547
11,0,31,9228.93,770.085,12,3.34408e+09,770.068,771.271,35.7355,37.7018,#FF0000,0.1,51.9547
11,0,30,9228.93,710.925,13,2.34347e+09,710.902,712.028,35.7355,37.7018,#FF0000,0.1,51.9547
11,0,25,9228.93,660.217,14,1.56032e+09,660.188,661.248,35.7858,37.2342,#FF0000,0.1,51.9547
11,0,23,9228.93,616.269,15,1.04158e+09,616.236,617.238,35.7858,37.0863,#FF0000,0.1,51.9547
11,0,20,9228.93,577.816,16,5.44971e+08,577.778,578.73,35.7858,37.1605,#FF0000,0.1,51.9547
11,0,6,9228.93,543.886,17,7.45909e+07,543.845,544.752,35.8287,36.885,#FF0000,0.1,51.9547
12,0,2,12105.8,1514.24,8,2.70734e+07,1514.26,1516.34,51.2737,51.3477,#FF0000,0.1,50.962
12,0,8,12105.8,1346.1,9,1.43054e+08,1346.11,1347.98,51.2072,51.7112,#FF0000,0.1,50.962
12,0,8,12105.8,1211.59,10,2.68464e+08,1211.59,1213.3,51.2072,51.7112,#FF0000,0.1,50.962
12,0,10,12105.8,1101.54,11,6.8492e+08,1101.53,1103.1,51.2072,51.84,#FF0000,0.1,50.962
12,0,12,12105.8,1009.83,12,1.20251e+09,1009.81,1011.26,51.2072,51.9882,#FF0000,0.1,50.962
12,0,13,12105.8,932.226,13,1.14239e+09,932.203,933.56,51.2072,52.0623,#FF0000,0.1,50.962
12,0,11,12105.8,865.71,14,7.53902e+08,865.682,866.956,51.2072,51.9142,#FF0000,0.1,50.962
12,0,8,12105.8,808.064,15,2.4399e+08,808.03,809.233,51.2072,51.7112,#FF0000,0.1,50.962
13,0,11,10098.3,1263.29,8,3.26557e+08,1263.31,1265.14,40.0003,40.5887,#FF0000,0.1,43.047
13,0,13,10098.3,1123.04,9,4.97953e+08,1123.05,1124.7,40.0003,40.7052,#FF0000,0.1,43.047
